seed,ns,k,m,nx,ny,ndof,hx,hy,h,rtol,restart,gmres_maxiter,iters,gmres_info,t_direct_s,t_gmres_s,direct_vs_gmres_err
0,8,16,32,33,65,2145,0.03125,0.03125,0.03125,1e-12,20,20000,1097,0,0.005265951156616211,0.10072493553161621,1.330474719353508e-11
0,8,16,48,49,97,4753,0.020833333333333332,0.020833333333333332,0.020833333333333332,1e-12,20,20000,1897,0,0.013618946075439453,0.2521798610687256,1.1042947076000949e-11
0,8,16,64,65,129,8385,0.015625,0.015625,0.015625,1e-12,20,20000,2706,0,0.030331850051879883,0.5178589820861816,1.4923295984953945e-11
0,8,16,80,81,161,13041,0.0125,0.0125,0.0125,1e-12,20,20000,3285,0,0.054529666900634766,0.8835830688476562,3.532779445512131e-11
0,8,16,96,97,193,18721,0.010416666666666666,0.010416666666666666,0.010416666666666666,1e-12,20,20000,4699,0,0.08257389068603516,1.6671972274780273,2.2276173213832115e-11
0,8,16,112,113,225,25425,0.008928571428571428,0.008928571428571428,0.008928571428571428,1e-12,20,20000,6238,0,0.11667799949645996,2.9637739658355713,2.0480925539559345e-11
0,8,16,128,129,257,33153,0.0078125,0.0078125,0.0078125,1e-12,20,20000,8489,0,0.17283916473388672,5.275506973266602,1.610380838212613e-11
0,8,16,32,33,65,2145,0.03125,0.03125,0.03125,1e-12,20,20000,1097,0,0.005529165267944336,0.10546207427978516,1.330474719353508e-11
0,8,16,48,49,97,4753,0.020833333333333332,0.020833333333333332,0.020833333333333332,1e-12,20,20000,1897,0,0.012849807739257812,0.2682828903198242,1.1042947076000949e-11
0,8,16,64,65,129,8385,0.015625,0.015625,0.015625,1e-12,20,20000,2706,0,0.0283966064453125,0.5337169170379639,1.4923295984953945e-11
0,8,16,80,81,161,13041,0.0125,0.0125,0.0125,1e-12,20,20000,3285,0,0.05063295364379883,1.0688700675964355,3.532779445512131e-11
0,8,16,96,97,193,18721,0.010416666666666666,0.010416666666666666,0.010416666666666666,1e-12,20,20000,4699,0,0.06491327285766602,1.731416940689087,2.2276173213832115e-11
0,8,16,112,113,225,25425,0.008928571428571428,0.008928571428571428,0.008928571428571428,1e-12,20,20000,6238,0,0.09714794158935547,3.036129951477051,2.0480925539559345e-11
0,8,16,128,129,257,33153,0.0078125,0.0078125,0.0078125,1e-12,20,20000,8489,0,0.15875887870788574,5.050864219665527,1.610380838212613e-11
